fid;Norm Integrate;Norm Integrate;Norm Public Green;Norm Public Area;Norm public amenities;PM10_normnew;PM25_normnew;NO2_normnew;SO2_normnew;BAP_normnew;BZN_normnew;Treec_norm;Buildings_clipped_intersected_NEW_pc;n_weighed_uniq_bio_hab;Normalized_eco_corr_overlap_area;N_round_m_floodpplain biotope value;Floodplain_restoration_rounded;Percentage_habitat_n;n_w_length;majority_value;Imper_norm;LST_norm;Floodplain Norm;NDVI_norm
25;0,1027;0,1027;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;0,9220;2,2011;0,0000;0,1000;0,0000;0,6000;0,0000;0,0000;1,0000;0,0400;0,6240;1,0000;0,2580
26;0,1918;0,1918;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;0,8000;1,0000;6,8732;0,0000;0,1000;0,0000;0,0000;0,0000;0,0000;3,0000;0,2280;0,6240;3,0000;0,4070
27;0,1126;0,1126;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;0,8000;0,2220;2,0793;0,1000;0,0000;0,0000;0,0000;0,0000;0,0000;2,0000;0,0790;0,6240;2,0000;0,3130
28;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;0,8000;0,8510;0,0000;0,1000;0,0000;0,0000;0,0000;0,7000;0,0000;2,0000;0,0000;0,6600;2,0000;0,2190
29;0,0028;0,0028;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;0,8000;1,0000;1,3139;0,1000;0,0000;0,0000;0,0000;0,5000;0,0000;2,0000;0,0080;0,6800;2,0000;0,2650
30;0,0612;0,0612;0,0000;0,0000;0,0000;0,1670;0,1200;0,1430;0,2000;0,0630;0,8000;1,0000;3,7592;0,3000;0,0000;0,0000;0,0000;0,1000;0,0000;2,0000;0,2910;0,6660;2,0000;0,3960
31;0,0308;0,0308;0,0000;0,0000;0,0000;0,1670;0,1200;0,1430;0,2000;0,0630;0,8000;0,9370;11,4429;0,0000;0,0000;0,0000;0,3000;0,0000;0,0000;2,0000;0,5970;0,6540;2,0000;0,4600
32;0,0335;0,0335;0,0000;0,0000;0,0000;0,1670;0,1200;0,1430;0,2000;0,0630;0,8000;0,7060;10,5376;0,1000;0,0000;0,0000;0,0000;0,2000;0,0000;4,0000;0,4170;0,6450;4,0000;0,4050
33;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;0,0000;0,3000;0,0000;0,0000;0,0000;0,8000;0,0000;1,0000;0,0000;0,6240;1,0000;0,2740
34;0,0156;0,0156;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;1,0000;8,3135;0,1000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0860;0,6240;1,0000;0,3610
