fid;Norm Integrate;Norm Integrate;Norm Public Green;Norm Public Area;Norm public amenities;PM10_normnew;PM25_normnew;NO2_normnew;SO2_normnew;BAP_normnew;BZN_normnew;Treec_norm;Buildings_clipped_intersected_NEW_pc;n_weighed_uniq_bio_hab;Normalized_eco_corr_overlap_area;N_round_m_floodpplain biotope value;Floodplain_restoration_rounded;Percentage_habitat_n;n_w_length;majority_value;Imper_norm;LST_norm;Floodplain Norm;NDVI_norm
102;0,3937;0,3937;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,3700;4,0515;0,1000;0,1000;0,0000;0,0000;0,2000;0,0000;0,0000;0,1340;0,6300;0,0000;0,3040
103;0,1227;0,1227;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,4620;8,6693;0,1000;0,1000;0,0000;0,1000;0,3000;0,0000;0,0000;0,3460;0,6300;0,0000;0,3660
104;0,0802;0,0802;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,5900;9,4625;0,4000;0,0000;0,0000;0,0000;0,3000;0,0000;0,0000;0,3930;0,6300;0,0000;0,3990
105;0,5096;0,5096;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;16,1400;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4480;0,6300;0,0000;0,4510
106;0,3577;0,3577;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;0,7370;5,3506;0,3000;0,0000;0,0000;0,0000;0,2000;0,0000;0,0000;0,1490;0,6260;0,0000;0,3270
107;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,0740;3,6575;0,1000;0,0000;0,0000;0,0000;0,4000;1,0000;0,0000;0,0000;0,5150;0,0000;0,2340
108;0,2185;0,2185;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,5350;1,2267;0,4000;0,0000;0,0000;0,0000;0,6000;0,0000;0,0000;0,0240;0,4970;0,0000;0,2840
109;0,4848;0,4848;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,6490;5,9039;0,3000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1340;0,4690;0,0000;0,3030
110;0,2168;0,2168;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,8740;9,9966;0,3000;0,0000;0,0000;0,0000;0,3000;0,0000;0,0000;0,3320;0,4430;0,0000;0,4050
111;0,1514;0,1514;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0310;2,0000;0,2500;6,6414;0,1000;0,0000;0,0000;0,0000;0,2000;0,0000;0,0000;0,2150;0,6300;0,0000;0,3570
112;0,2700;0,2700;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;0,3720;5,1527;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1510;0,6300;0,0000;0,3550
113;0,0675;0,0675;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,2000;0,0000;0,0000;0,0000;0,6300;0,0000;0,1590
114;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;4,7281;0,3000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,4300;0,6300;0,0000;0,4050
115;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,6630;0,0000;0,3000;0,0000;0,0000;0,0000;0,8000;0,0000;0,0000;0,0400;0,6300;0,0000;0,2360
116;0,2268;0,2268;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,1590;7,8871;0,3000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0160;0,6300;0,0000;0,2960
117;0,2438;0,2438;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,8000;0,0000;0,0000;0,0080;0,6300;0,0000;0,1590
118;0,4096;0,4096;0,6677;0,0000;0,0000;0,3330;0,2000;0,2860;0,4000;0,3130;2,0000;0,2130;0,6181;0,0000;0,0000;0,0000;0,0000;0,5000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1420
119;0,0587;0,0587;0,7580;0,0000;0,0000;0,3330;0,4000;0,2860;0,4000;0,3130;2,0000;0,6180;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,2050
120;0,0188;0,0188;0,7580;0,0000;0,0000;0,3330;0,4000;0,2860;0,4000;0,3130;2,0000;0,0040;0,0000;0,1000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,0790
121;0,0000;0,0000;0,5774;0,0000;0,0000;0,3330;0,4000;0,2860;0,4000;0,3130;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1430
122;0,0973;0,0973;0,6677;0,0000;0,0000;0,3330;0,4000;0,2860;0,4000;0,3130;2,0000;0,3640;0,0000;0,0000;0,0000;0,0000;0,0000;0,3000;0,0000;0,0000;0,0320;0,8090;0,0000;0,2430
123;0,0118;0,0118;0,7580;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,6690;0,0000;0,5000;0,0000;0,0000;0,0000;0,5000;0,0000;0,0000;0,0310;0,8090;0,0000;0,1450
124;0,0000;0,0000;0,5774;0,0000;0,0000;0,3330;0,4000;0,2860;0,4000;0,3130;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1120
125;0,1203;0,1203;0,5774;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1000;0,6000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1060
126;0,1454;0,1454;0,6677;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,5000;0,0000;0,7000;0,7000;0,1000;0,0000;0,0000;0,1920;0,8090;0,0000;0,3350
127;0,0188;0,0188;0,7580;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,0540
128;0,0188;0,0188;0,7580;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,8090;0,0000;0,0940
129;0,0000;0,0000;0,7580;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,5000;0,8000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1080
130;0,0000;0,0000;0,7580;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,2000;0,7000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1420
131;0,0000;0,0000;0,7580;0,0200;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,5930;0,0191;0,5000;0,0000;0,7000;0,9000;0,5000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1520
132;0,0000;0,0000;0,7580;0,0290;0,2000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;29,7944;0,5000;0,0000;0,0000;0,1000;0,7000;0,0000;0,0000;0,5130;0,8090;0,0000;0,5220
133;0,1129;0,1129;0,4129;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,2000;0,0000;0,0000;0,0000;0,8090;0,0000;0,0590
134;0,1661;0,1661;0,4129;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0760;0,0000;0,1000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,0780
135;0,0000;0,0000;0,7580;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,6000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1000
136;0,0000;0,0000;0,7580;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;0,0000;0,5000;0,0000;0,0000;0,0000;0,8000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1190
137;0,0000;0,0000;0,7580;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,9500;0,6819;0,5000;0,0000;0,0000;0,1000;1,0000;0,0000;0,0000;0,0620;0,8090;0,0000;0,2050
138;0,0000;0,0000;0,7580;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;0,0000;0,5000;0,0000;0,0000;0,2000;1,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1210
139;0,0227;0,0227;0,0678;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;4,6558;0,0000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1990
140;0,1576;0,1576;0,0678;0,0060;0,2000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,7840;6,2516;0,0000;0,0000;0,0000;0,0000;0,6000;0,0000;0,0000;0,0620;0,8090;0,0000;0,2460
141;0,1846;0,1846;0,7580;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,4470;3,7036;0,1000;0,0000;0,0000;0,0000;0,4000;0,0000;0,0000;0,0000;0,8090;0,0000;0,2250
142;0,1553;0,1553;0,0000;0,0110;0,8000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;13,6975;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3290;0,8090;0,0000;0,5180
143;0,0142;0,0142;0,7580;0,0130;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,4940;8,5590;0,1000;0,0000;0,0000;0,2000;0,7000;0,0000;0,0000;0,0000;0,8090;0,0000;0,2320
144;0,0678;0,0678;0,0000;0,0200;0,6000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;49,2777;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,7810;0,8090;0,0000;0,6670
145;0,0554;0,0554;0,0678;0,0010;0,4000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;11,4429;0,0000;0,0000;0,0000;0,0000;0,2000;0,0000;0,0000;0,4690;0,8090;0,0000;0,4730
146;0,0000;0,0000;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,4050
147;0,1307;0,1307;0,0000;0,0060;0,6000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;7,7583;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8650;0,8090;0,0000;0,6950
148;0,0501;0,0501;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,8090;0,0000;0,7300
149;0,2664;0,2664;0,0485;0,0910;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,8090;0,0000;0,7420
150;0,0156;0,0156;0,0485;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,4570;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,7750;0,8090;0,0000;0,5520
151;0,0000;0,0000;0,5774;0,0000;0,0000;0,3330;0,4000;0,2860;0,4000;0,3130;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,0410
152;0,0000;0,0000;0,5774;0,0000;0,0000;0,3330;0,4000;0,2860;0,4000;0,3130;2,0000;0,0350;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1290
153;0,0000;0,0000;0,5774;0,0000;0,0000;0,3330;0,4000;0,2860;0,4000;0,3130;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,8130;0,0000;0,0660
154;0,0000;0,0000;0,5774;0,0000;0,0000;0,3330;0,4000;0,2860;0,4000;0,3130;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,0720
155;0,0247;0,0247;0,5774;0,0000;0,0000;0,3330;0,4000;0,2860;0,4000;0,3130;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,0710
156;0,0307;0,0307;0,3131;0,0000;0,0000;0,3330;0,4000;0,2860;0,4000;0,3130;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,8190;0,0000;0,1000
157;0,2392;0,2392;0,3131;0,0000;0,0000;0,3330;0,4000;0,2860;0,4000;0,3130;2,0000;0,3650;0,0000;0,0000;0,0000;0,0000;0,7000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1060
158;0,1862;0,1862;0,3131;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,9150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1760
159;0,2504;0,2504;0,5774;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,3040;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0310;0,8090;0,0000;0,1980
160;0,4244;0,4244;0,6677;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,5578;0,0000;0,0000;0,0000;0,0000;0,0000;0,4690;0,8090;0,0000;0,6200
161;0,1692;0,1692;0,4745;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,6710;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0330;0,8090;0,0000;0,3250
162;0,2384;0,2384;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,4160;1,0000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,2960
163;0,2678;0,2678;0,5648;0,0200;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,7410;1,0000;0,0000;0,3239;0,0000;0,1000;0,0000;0,0000;0,0000;0,4690;0,8090;0,0000;0,4240
164;0,0520;0,0520;0,3717;0,0380;0,4000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,8770;4,0000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,2190;0,8090;0,0000;0,4610
165;0,1641;0,1641;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,4980;4,0000;0,0000;0,0000;0,0000;0,8000;0,0000;0,0000;0,0000;0,0660;0,8090;0,0000;0,2640
166;0,2184;0,2184;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;4,0000;0,0000;0,0000;0,0000;0,9000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,1550
167;0,0000;0,0000;0,7580;0,0550;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;4,0000;0,0000;0,0000;0,0000;0,6000;0,0000;0,0000;0,0000;0,7810;0,8090;0,0000;0,6320
168;0,0000;0,0000;0,7580;0,0070;0,4000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;6,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,3120;0,8090;0,0000;0,3170
169;0,1373;0,1373;0,3717;0,0550;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,2470;1,0000;0,0000;0,0000;0,0000;0,3000;0,0000;0,0000;0,0000;0,1600;0,8090;0,0000;0,3820
170;0,0553;0,0553;0,0000;0,0160;0,2000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,3960;4,0000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,2190;0,8090;0,0000;0,3910
171;0,0979;0,0979;0,7580;0,0290;0,4000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;4,0000;0,0000;0,0000;0,0000;0,6000;0,0000;0,0000;0,0000;0,2810;0,8090;0,0000;0,4570
172;0,0000;0,0000;0,0000;0,0370;0,4000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,1452;0,0000;0,0000;0,0000;0,0000;0,0000;0,2810;0,8090;0,0000;0,5060
173;0,0556;0,0556;0,0000;0,0170;1,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,8010;0,8120;0,0000;0,6400
174;0,0000;0,0000;0,0000;0,0280;0,6000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,7146;0,0000;0,0000;0,0000;0,0000;0,0000;0,8440;0,8360;0,0000;0,7310
175;0,2559;0,2559;0,0485;0,0910;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;1,0000;0,0000;0,2115;0,0000;0,7000;0,0000;0,0000;0,0000;0,5000;0,8090;0,0000;0,5710
176;0,0000;0,0000;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,2370;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,3290
177;0,2508;0,2508;0,0485;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;4,0000;0,0000;0,8463;0,0000;0,3000;0,0000;0,0000;0,0000;0,7370;0,8750;0,0000;0,5840
178;0,0114;0,0114;0,0485;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,9350;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8880;0,0000;0,2920
179;0,1488;0,1488;0,3131;0,0000;0,0000;0,3330;0,4000;0,2860;0,4000;0,3130;2,0000;0,0100;0,0000;0,0000;0,0000;0,0000;0,7000;0,0000;0,0000;0,0000;0,0000;0,8270;0,0000;0,1200
180;0,0230;0,0230;0,0489;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,4680;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,2870
181;0,0718;0,0718;0,5774;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3120;0,8090;0,0000;0,4110
182;0,0277;0,0277;0,0489;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,2890;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8310;0,0000;0,3020
183;0,1402;0,1402;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,5420;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,3630
184;0,2357;0,2357;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,5620;0,8090;0,0000;0,5010
185;0,0835;0,0835;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,2860
186;0,0163;0,0163;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,2570;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8090;0,0000;0,2140
187;0,1216;0,1216;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,2190;0,8090;0,0000;0,3510
188;0,0574;0,0574;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,5480;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8290;0,0000;0,1860
189;0,2156;0,2156;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,6870;0,8090;0,0000;0,6040
190;0,0124;0,0124;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,8810;4,0000;0,0000;0,0000;0,0000;0,8000;0,0000;0,0000;0,0000;0,3440;0,8120;0,0000;0,3500
191;0,0000;0,0000;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,8840;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8680;0,0000;0,2570
192;0,0124;0,0124;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,9430;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1120;0,8700;0,0000;0,3830
193;0,0000;0,0000;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;4,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,8330;0,0000;0,1390
194;0,0909;0,0909;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;4,0000;0,0000;0,0000;0,0000;0,8000;0,0000;0,0000;0,0000;0,0000;0,8710;0,0000;0,1660
195;0,0000;0,0000;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0660;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9160;0,0000;0,2230
196;0,0000;0,0000;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,3360;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9160;0,0000;0,2530
197;0,2613;0,2613;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,4000;0,0000;0,0000;0,0000;0,0000;0,9020;0,0000;0,2650
198;0,2497;0,2497;0,1240;0,0310;0,2000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,6990;1,0000;0,0000;0,1597;0,0000;0,1000;0,0000;0,0000;0,0000;0,5260;0,9160;0,0000;0,5070
199;0,0000;0,0000;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9160;0,0000;0,1310
200;0,0560;0,0560;0,1856;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9160;0,0000;0,2490
201;0,3711;0,3711;0,0123;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;1,0000;0,0000;0,9441;0,0000;0,4000;0,0000;0,0000;0,0000;0,6090;0,9160;0,0000;0,5770
202;0,0000;0,0000;0,0485;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0690;0,9160;0,0000;0,3350
203;0,0879;0,0879;-37508514,4172;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,5770;0,9160;0,0000;0,5010
204;0,0000;0,0000;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,9160;0,0000;0,5940
205;0,0842;0,0842;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0960;0,8380;0,0000;0,3070
206;0,0296;0,0296;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8280;0,0000;0,2060
207;0,1489;0,1489;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8970;0,8650;0,0000;0,6080
208;0,0168;0,0168;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,7690;0,8870;0,0000;0,4430
209;0,0164;0,0164;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1280;0,9160;0,0000;0,3730
210;0,0164;0,0164;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,9160;0,0000;0,8050
211;0,1199;0,1199;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3440;0,9000;0,0000;0,4000
212;0,0558;0,0558;0,3717;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9160;0,0000;0,2560
213;0,1282;0,1282;0,0000;0,0000;0,0000;0,3330;0,4000;0,5710;0,4000;0,3130;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,9160;0,0000;0,5490
